#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.385062E+00   0.418108E+06   0.416034E+06   0.101652E+00  -0.739340E-01   0.000000E+00   0.417782E+06   0.417782E+06   0.417782E+06  -0.983520E-02   0.217076E+06   0.217048E+06   0.240877E-01
   0.390426E+00   0.409681E+06   0.407654E+06   0.968852E-01  -0.704669E-01   0.000000E+00   0.409362E+06   0.409362E+06   0.409362E+06  -0.963697E-02   0.212701E+06   0.212673E+06   0.232485E-01
   0.395790E+00   0.401318E+06   0.399329E+06   0.923521E-01  -0.671699E-01   0.000000E+00   0.401005E+06   0.401005E+06   0.401005E+06  -0.944024E-02   0.208358E+06   0.208332E+06   0.225078E-01
   0.401155E+00   0.393059E+06   0.391100E+06   0.880481E-01  -0.640396E-01   0.000000E+00   0.392751E+06   0.392751E+06   0.392751E+06  -0.924592E-02   0.204070E+06   0.204043E+06   0.218408E-01
   0.406519E+00   0.384978E+06   0.383046E+06   0.839763E-01  -0.610782E-01   0.000000E+00   0.384674E+06   0.384674E+06   0.384674E+06  -0.905578E-02   0.199873E+06   0.199847E+06   0.212180E-01
   0.411884E+00   0.377141E+06   0.375235E+06   0.801373E-01  -0.582862E-01   0.000000E+00   0.376841E+06   0.376841E+06   0.376841E+06  -0.887139E-02   0.195803E+06   0.195778E+06   0.206126E-01
   0.417248E+00   0.369594E+06   0.367717E+06   0.765270E-01  -0.556604E-01   0.000000E+00   0.369299E+06   0.369299E+06   0.369299E+06  -0.869383E-02   0.191884E+06   0.191859E+06   0.200059E-01
   0.422612E+00   0.362370E+06   0.360525E+06   0.731383E-01  -0.531957E-01   0.000000E+00   0.362080E+06   0.362080E+06   0.362080E+06  -0.852389E-02   0.188133E+06   0.188109E+06   0.193901E-01
   0.427977E+00   0.355481E+06   0.353673E+06   0.699606E-01  -0.508845E-01   0.000000E+00   0.355197E+06   0.355197E+06   0.355197E+06  -0.836185E-02   0.184557E+06   0.184533E+06   0.187682E-01
   0.433341E+00   0.348902E+06   0.347133E+06   0.669764E-01  -0.487139E-01   0.000000E+00   0.348624E+06   0.348624E+06   0.348624E+06  -0.820710E-02   0.181141E+06   0.181118E+06   0.181501E-01
   0.438706E+00   0.342573E+06   0.340844E+06   0.641634E-01  -0.466679E-01   0.000000E+00   0.342301E+06   0.342301E+06   0.342301E+06  -0.805826E-02   0.177856E+06   0.177833E+06   0.175483E-01
   0.444070E+00   0.336436E+06   0.334746E+06   0.615010E-01  -0.447314E-01   0.000000E+00   0.336170E+06   0.336170E+06   0.336170E+06  -0.791393E-02   0.174671E+06   0.174648E+06   0.169750E-01
   0.449434E+00   0.330452E+06   0.328798E+06   0.589740E-01  -0.428933E-01   0.000000E+00   0.330192E+06   0.330192E+06   0.330192E+06  -0.777320E-02   0.171565E+06   0.171543E+06   0.164388E-01
   0.454799E+00   0.324595E+06   0.322973E+06   0.565703E-01  -0.411450E-01   0.000000E+00   0.324340E+06   0.324340E+06   0.324340E+06  -0.763543E-02   0.168524E+06   0.168502E+06   0.159428E-01
   0.460163E+00   0.318839E+06   0.317246E+06   0.542792E-01  -0.394787E-01   0.000000E+00   0.318589E+06   0.318589E+06   0.318589E+06  -0.750004E-02   0.165536E+06   0.165514E+06   0.154844E-01
   0.465528E+00   0.313179E+06   0.311611E+06   0.520938E-01  -0.378892E-01   0.000000E+00   0.312932E+06   0.312932E+06   0.312932E+06  -0.736688E-02   0.162597E+06   0.162576E+06   0.150571E-01
   0.470892E+00   0.307634E+06   0.306090E+06   0.500120E-01  -0.363751E-01   0.000000E+00   0.307391E+06   0.307391E+06   0.307391E+06  -0.723643E-02   0.159717E+06   0.159697E+06   0.146527E-01
