#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.280032E+00   0.528483E+06   0.525500E+06   0.146313E+00  -0.262271E+00   0.000000E+00   0.527946E+06   0.527946E+06   0.527946E+06  -0.117388E-01   0.244172E+06   0.244137E+06   0.417844E-01
   0.284864E+00   0.516880E+06   0.514041E+06   0.138292E+00  -0.247891E+00   0.000000E+00   0.516369E+06   0.516369E+06   0.516369E+06  -0.114814E-01   0.238817E+06   0.238784E+06   0.394037E-01
   0.289696E+00   0.505846E+06   0.503144E+06   0.130868E+00  -0.234579E+00   0.000000E+00   0.505359E+06   0.505359E+06   0.505359E+06  -0.112366E-01   0.233726E+06   0.233693E+06   0.372174E-01
   0.294528E+00   0.494967E+06   0.492380E+06   0.123890E+00  -0.222069E+00   0.000000E+00   0.494501E+06   0.494501E+06   0.494501E+06  -0.109952E-01   0.228704E+06   0.228672E+06   0.353363E-01
   0.299360E+00   0.483934E+06   0.481432E+06   0.117251E+00  -0.210168E+00   0.000000E+00   0.483483E+06   0.483483E+06   0.483483E+06  -0.107502E-01   0.223608E+06   0.223578E+06   0.337983E-01
   0.304192E+00   0.472617E+06   0.470170E+06   0.110900E+00  -0.198784E+00   0.000000E+00   0.472176E+06   0.472176E+06   0.472176E+06  -0.104988E-01   0.218379E+06   0.218349E+06   0.325729E-01
   0.309024E+00   0.461104E+06   0.458687E+06   0.104839E+00  -0.187923E+00   0.000000E+00   0.460669E+06   0.460669E+06   0.460669E+06  -0.102429E-01   0.213057E+06   0.213027E+06   0.315816E-01
   0.313856E+00   0.449633E+06   0.447232E+06   0.991052E-01  -0.177646E+00   0.000000E+00   0.449201E+06   0.449201E+06   0.449201E+06  -0.998795E-02   0.207753E+06   0.207724E+06   0.307227E-01
   0.318688E+00   0.438464E+06   0.436076E+06   0.937325E-01  -0.168017E+00   0.000000E+00   0.438034E+06   0.438034E+06   0.438034E+06  -0.973966E-02   0.202588E+06   0.202560E+06   0.298972E-01
   0.323520E+00   0.427806E+06   0.425440E+06   0.887407E-01  -0.159070E+00   0.000000E+00   0.427380E+06   0.427380E+06   0.427380E+06  -0.950276E-02   0.197661E+06   0.197633E+06   0.290294E-01
   0.328352E+00   0.417807E+06   0.415475E+06   0.841336E-01  -0.150812E+00   0.000000E+00   0.417387E+06   0.417387E+06   0.417387E+06  -0.928058E-02   0.193039E+06   0.193012E+06   0.280808E-01
   0.333184E+00   0.408542E+06   0.406259E+06   0.798989E-01  -0.143221E+00   0.000000E+00   0.408131E+06   0.408131E+06   0.408131E+06  -0.907476E-02   0.188758E+06   0.188731E+06   0.270516E-01
   0.338016E+00   0.399977E+06   0.397756E+06   0.760041E-01  -0.136239E+00   0.000000E+00   0.399577E+06   0.399577E+06   0.399577E+06  -0.888456E-02   0.184802E+06   0.184776E+06   0.259718E-01
